id,country_code,province_code,city_code,district_code,level,parent_code,province_name,city_name,district_name,short_city_name,city_tier,city_cluster,is_municipality,is_subprovincial,gdp,population,gdp_per_capita,income_per_capita,stats_year,citycode,center_lon,center_lat,created_at,updated_at
3341,CN,620000,620900,620921,district,620900,甘肃省,酒泉市,金塔县,,,,False,False,,,,,,0937,98.901523,39.984146,2025-12-05 23:50:09,2025-12-05 23:50:09
3342,CN,620000,620900,620902,district,620900,甘肃省,酒泉市,肃州区,,,,False,False,,,,,,0937,98.507834,39.74511,2025-12-05 23:50:09,2025-12-05 23:50:09
3343,CN,620000,620900,620924,district,620900,甘肃省,酒泉市,阿克塞哈萨克族自治县,,,,False,False,,,,,,0937,94.340202,39.633944,2025-12-05 23:50:09,2025-12-05 23:50:09
3344,CN,620000,620900,620922,district,620900,甘肃省,酒泉市,瓜州县,,,,False,False,,,,,,0937,95.782255,40.520457,2025-12-05 23:50:09,2025-12-05 23:50:09
3345,CN,620000,621000,621027,district,621000,甘肃省,庆阳市,镇原县,,,,False,False,,,,,,0934,107.200888,35.677705,2025-12-05 23:50:09,2025-12-05 23:50:09
3346,CN,620000,621000,621022,district,621000,甘肃省,庆阳市,环县,,,,False,False,,,,,,0934,107.308788,36.568566,2025-12-05 23:50:09,2025-12-05 23:50:09
3347,CN,620000,621000,621021,district,621000,甘肃省,庆阳市,庆城县,,,,False,False,,,,,,0934,107.881706,36.016125,2025-12-05 23:50:09,2025-12-05 23:50:09
3348,CN,620000,621000,621023,district,621000,甘肃省,庆阳市,华池县,,,,False,False,,,,,,0934,107.98972,36.461474,2025-12-05 23:50:09,2025-12-05 23:50:09
3349,CN,620000,621000,621024,district,621000,甘肃省,庆阳市,合水县,,,,False,False,,,,,,0934,108.021859,35.833908,2025-12-05 23:50:09,2025-12-05 23:50:09
3350,CN,620000,621000,621002,district,621000,甘肃省,庆阳市,西峰区,,,,False,False,,,,,,0934,107.650563,35.730318,2025-12-05 23:50:09,2025-12-05 23:50:09
3351,CN,620000,621000,621026,district,621000,甘肃省,庆阳市,宁县,,,,False,False,,,,,,0934,107.913463,35.509252,2025-12-05 23:50:09,2025-12-05 23:50:09
3352,CN,620000,621000,621025,district,621000,甘肃省,庆阳市,正宁县,,,,False,False,,,,,,0934,108.359964,35.492158,2025-12-05 23:50:09,2025-12-05 23:50:09
3353,CN,620000,621100,621123,district,621100,甘肃省,定西市,渭源县,,,,False,False,,,,,,0932,104.215092,35.137028,2025-12-05 23:50:09,2025-12-05 23:50:09
3354,CN,620000,621100,621124,district,621100,甘肃省,定西市,临洮县,,,,False,False,,,,,,0932,103.859446,35.394993,2025-12-05 23:50:09,2025-12-05 23:50:09
3355,CN,620000,621100,621126,district,621100,甘肃省,定西市,岷县,,,,False,False,,,,,,0932,104.036731,34.43833,2025-12-05 23:50:09,2025-12-05 23:50:09
3356,CN,620000,621100,621125,district,621100,甘肃省,定西市,漳县,,,,False,False,,,,,,0932,104.471722,34.84854,2025-12-05 23:50:09,2025-12-05 23:50:09
3357,CN,620000,621100,621122,district,621100,甘肃省,定西市,陇西县,,,,False,False,,,,,,0932,104.634928,35.003899,2025-12-05 23:50:09,2025-12-05 23:50:09
3358,CN,620000,621100,621102,district,621100,甘肃省,定西市,安定区,,,,False,False,,,,,,0932,104.610647,35.580918,2025-12-05 23:50:09,2025-12-05 23:50:09
3359,CN,620000,621100,621121,district,621100,甘肃省,定西市,通渭县,,,,False,False,,,,,,0932,105.242312,35.211311,2025-12-05 23:50:09,2025-12-05 23:50:09
3360,CN,620000,621200,621221,district,621200,甘肃省,陇南市,成县,,,,False,False,,,,,,2935,105.729569,33.740547,2025-12-05 23:50:09,2025-12-05 23:50:09
3361,CN,620000,621200,621227,district,621200,甘肃省,陇南市,徽县,,,,False,False,,,,,,2935,106.087156,33.769927,2025-12-05 23:50:09,2025-12-05 23:50:09
