old_mall_name,new_name
天津K11购物艺术中心,天津K11购物艺术中心
天津陆家嘴中心,天津陆家嘴中心
东方福来德,东方福来德
哈尔滨融创茂,哈尔滨融创茂
重庆IFS国金中心,重庆IFS国金中心
龙湖南京龙湾天街,龙湖南京龙湾天街
龙湖天津梅江天街,龙湖天津梅江天街
宏伊国际广场(南京东路),宏伊国际广场(南京东路)
上海真如环宇城MAX,上海真如环宇城MAX
益阳赫山万达广场,万达广场
天津天河城购物中心,天津天河城购物中心
北京五棵松万达广场,北京五棵松万达广场
金融街购物中心,金融街购物中心
天津海信广场,天津海信广场
凯德1818,凯德1818
环贸iapm商场,环贸iapm商场
悦方ID MALL,悦方ID MALL
武汉K11购物艺术中心,武汉K11购物艺术中心
京西大悦城,京西大悦城
益田假日广场(深圳华侨城店),益田假日广场
天津恒隆广场,天津恒隆广场
上海七宝领展广场,上海七宝领展广场
长沙星沙万象汇,长沙星沙万象汇
兴业太古汇,兴业太古汇
上海荟聚,上海荟聚
万科广场,万科广场
重庆来福士广场,重庆来福士广场
鹏欣·水游城,鹏欣·水游城
泰富百货(延陵西路),泰富百货(延陵西路)
上海港汇恒隆广场,上海港汇恒隆广场
合肥之心城购物中心,合肥之心城购物中心
复地活力城,复地活力城
会展航洋城,航洋国际购物中心
广州琶洲保利,保利广场
好悦天地,好悦天地A区
西安赛格广场,赛格国际购物中心
中海寰宇天地(千灯湖环宇城店),中海寰宇天地
德思勤城市广场,德思勤四季汇
吾悦广场(海口店),新城吾悦广场S5
王府井购物中心(南昌店),王府井购物中心
东百中心,东百中心-C馆
长宁来福士,长宁来福士
新百中心,新百中心C馆
海乐世界,海乐城
深圳中航城,中航城君尚购物中心
宝安大悦城,深圳大悦城购物中心
新浙北大厦,浙北生活
万达广场(运城店),万达广场
银泰百货(滨湖店),银泰百货
吾悦广场(沧州店),吾悦广场
银泰百货(温岭店),银泰百货
太原茂业天地,太原茂业天地购物中心1期
六安金安万达,万达广场
广州番禺 k11,广州番禺万达广场
河北保定市西大街,保定百货大楼
天马·南湖荟购物中心,南湖第壹MALL
宝龙广场(福州台江店),宝龙城市广场东区
长沙松雅湖吾悦广场,吾悦广场
上海万象城,上海万象城
国贸大厦购物广场(国贸大厦店),国贸大厦北楼
万达广场(成都金牛店),万达广场送车点-益安
凯德广场,凯德广场·诺和木勒
SM新生活广场(厦门思明店),SM新生活广场
振华广场,新华MALL
贵阳万象城,贵阳万象城
西安万象天地,西安万象城(生命之树)
卓悦中心,卓悦中心西区
天津天河城,天津天河城购物中心
衡阳万达,万达广场
居然世界里,中商·世界里购物中心
龙华天虹购物中心,天虹购物中心
龙湖重庆U城天街,龙湖重庆U城天街B馆
万达广场(包头青山店),万达广场
万达广场(大同平城店),万达广场
吾悦广场(昆明五华店),吾悦广场
吾悦广场(常州钟楼店),吾悦广场
万达广场(兰州城关店),万达广场
万达广场(大连高新店),万达广场
万达广场(绍兴柯桥店),万达广场
万达广场(昆山经开店),万达广场
吾悦广场(南京建邺店),吾悦广场
远大购物中心(南岗店),远大购物中心
万达广场(廊坊广阳店),万达广场
万达广场(福州仓山店),万达广场
万达广场(太原龙湖店),万达广场
万达广场(南宁江南店),万达广场
万达广场(昆明西山店),万达广场
万达广场(徐州云龙店),万达广场
光环购物公园,重庆光环购物公园
重庆江岸天街,龙湖重庆江岸天街
南京国金中心,南京ifc商场
杭州城西银泰城,银泰百货
上海环球港,上海月星环球港
万达广场(长春红旗街店),万达广场
万达广场(石家庄裕华店),万达广场
万达广场(大庆让胡路店),万达广场
万达广场(平顶山卫东店),万达广场
万达广场(南昌红谷滩店),万达广场
万达广场(福州金融街店),万达广场
万达广场(大庆萨尔图店),万达广场
万达广场(西安大明宫店),万达广场
贵和购物中心(领秀城店),贵和购物中心
万达广场(鄂尔多斯东胜店),东胜万达广场2期
龙湖重庆金沙天街B馆,龙湖重庆金沙天街
新田360广场(郑州国贸店),新田360广场
万达广场(孝感星河天街店),万达广场
银泰百货(宝鸡国金中心店),银泰百货
吾悦广场(乌鲁木齐会展店),吾悦广场
成都滨江天街,龙湖·滨江天街
哈尔滨松北万象汇,松北购物中心
环球购物中心B馆,环球中心
万达广场乌鲁木齐经开区店,万达广场
金鹰购物中心(盐城聚龙湖店),金鹰购物中心
隆盛超市(柏威年购物中心大连店),柏威年
中粮·祥云小镇北区,中粮·祥云小镇
伊藤洋华堂(双楠店),伊藤洋华堂
探十里(升龙金中环财富中心店),探十里
第一国际汇一城,海德·汇一城三区
楚河汉街,汉街万达
西安龙首印象城,荣民龙首广场
深圳前海壹方城,前海HOP天地
八佰伴中心,八佰伴
吾悦广场,吾悦广场
生龙悠购天地,生龙悠购天地
西亚城,西亚生活广场
江门蓬江万达广场,江门蓬江万达广场
成都银泰中心,成都银泰城
武汉新荣龙湖天街,娱非凡数码潮玩新荣天街店
龙之梦城市生活中心(长宁店),龙之梦城市生活中心
南京仙林金鹰,金鹰湖滨天地
淄博万象汇,利群集团淄博购物广场
北京清河万象汇西区,北京清河万象汇
城阳万象汇,利群集团城阳购物广场
昆明瑞鼎城悦容匯购物公园A馆,昆明瑞鼎城购物公园
虹桥南丰城,虹桥南丰城南区
西青大悦汇,西青大悦汇(A馆)
协信星光时代广场(南坪店),协信星光时代广场
千灯湖环宇城,中海寰宇天地
番禺天河城,广州番禺万达广场
华强电子世界,世纪汇购物中心
阜阳商厦中心,阜阳商厦时代广场
永旺梦乐城(新塘店),永旺梦乐城
中央商场(新街口店),中央商场
天河百脑汇,天河领展广场
广州信达金茂广场,信达金茂广场
西安老城根 GPark,龙湖西安大兴星悦荟
重庆万象城北区,重庆万象城
赣州万象城,赣州君尚购物中心
磐基名品中心,磐基莲花里
凯里国贸购物中心,凯里方圆荟购物广场
南京新百(中山南路店),南京新百
石家庄欢乐汇,欢乐汇100FUN CITY
济宁龙贵购物广场,贵和购物广场
珠海富华里,珠海玖洲道购物公园店
银泰百货(宁波环球银泰城店),宁波环球银泰城
武汉江宸天街,武汉滨江天街
重庆万象城南区,重庆万象城
协信星光广场,协信星光妙塘
吾悦广场(云浮店),吾悦广场(建设中)
昆明恒隆广场,昆明走廊
茂业天地(清扬店),茂业天地B座
丹尼斯百货(人民路店),丹尼斯百货1号馆
万达广场(成都双流店),成都双流时代奥特莱斯B区
"曼哈商业广场(进口食品,数码)",茂业天地
无锡恒隆广场,无锡八佰伴(中山路)
武汉武昌万象城,武汉万象城
沈阳皇姑万象汇,沈阳万象城
广州塔广场,广州百货
杭州亚奥万象天地,杭州万象城
温州万象城,温州滨江万象城
步步高广场(湘潭店),步步高广场
王府井广场(南充店),王府井广场
天虹CC Mall(石路店),天虹CC Mall
美罗城B区,美罗城
中洲湾C Future City,Bo space购物中心
龙湖·北城天街购物广场南馆,龙湖成都北城天街
玉溪万达广场,玉溪百货大楼
月星环球购物广场(上海月星环球港店),上海月星环球港
国泰优活城市广场北区,PARK108国泰优活城市广场
步步高·星城天地,步步高广场
沈阳百脑汇,沈阳百联购物中心
印象城(常熟店),印象城
绍兴银泰,绍兴鲸银城
龙湖西安香醍天街,龙湖西安未央天街
万达广场C栋,万达广场
长沙湘江永旺梦乐城,长沙星沙永旺梦乐城
新茂业国际购物中心,伊犁悦桐购物中心
七彩云南·第壹城,壹城万象唯此中心
世纪金源购物中心东区,世纪金源购物中心
安盛购物广场(大连开发区店),安盛购物广场
珠海环宇城,珠海玖洲道购物公园店
吾悦广场(温州店),潮品挚尚
中骏·世界城新馆,中骏世界城
大信新都汇B座,大信·新都汇
万达广场(青秀店),绿地中央广场B3栋
国金街,王府井百货
广州荔湾领展广场,荔湾广场
滨江宝龙城,滨悦城
永盛购物中心,金华大世界服装商场
万达广场(安阳店),万达广场
万达广场(永州店),万达广场
万达广场(枣庄店),万达广场
吾悦广场(钦州店),吾悦广场
万达广场(滨州店),万达广场
南亚风情第壹MALL,星光天地
IFS国金购物中心,长沙悦方ID MALL
新田360广场(郑州绿地店),郑州郑东万象城
银川建发阅彩城,王府井奥莱
悦府广场(天津大悦城南区),天津大悦城
珠海华发商都,横琴华发商都
深圳大运天地,深圳大悦城购物中心
广州天汇广场,广州百货
崂山万象汇,崂山百货
南京雨花万象天地,南京城北万象汇
常州购物中心,常州万象城
昆山万象汇,昆山商厦
拉萨柳梧万达广场,拉萨城关万达广场
沈阳京东 MALL,沈阳商业城
深圳大运天地,深圳大悦城购物中心
杭州临平银泰城,杭州临平银泰inPARK
华发商都B馆,横琴华发商都
万象汇,包河万象汇
友谊阳光城,阳光商业城
郑州正弘城,正弘生活广场
广东省广州市白云区机场,百信广场
乐城购物广场,红街购物
南昌武商MALL,万达广场
广州市白云区机场,白云汇广场
银泰创意城,群光广场
NOVA岭南站,百花广场(祖庙路)
中兴-沈阳商业大厦(兰州北街),百盛购物中心
顺德万象汇,印象城
星寰国际商业中心,万菱广场
茂业天地(华强北店),茂业天地
万达广场(未来石店),万达广场
万达广场(赣州经开店),新都汇生活广场
IFC国金天地,高德置地广场·春广场
石岐万象汇,假日广场
万达广场(玉林店),玉林文化广场专卖店
振华购物中心,振华购物中心A座
上海新天地南北里,新天地时尚一期
王府井购物中心(关东古巷店),铜锣湾广场
渝北光环花园城A馆,中央公园光环花园城
苏州中心商场二期,苏州奥体中心商业广场
船舶电子大世界,百盛购物中心
茂悦东荟城,油城十路宏丰新城商业广场素姬印象意境宏丰店
东莞市长安悦城广场,东莞长安万达广场
京东MALL(成都新南中心店),苏宁广场城市奥特莱斯
万达广场(宁德蕉城店),万达广场
万达广场(温州龙湾店),万达广场
万达广场(南京建邺店),万达广场
万达广场(厦门湖里店),万达广场
万达广场(上海周浦店),万达广场
凯德MALL(望京店),凯德MALL
万达广场(洛阳西工店),万达广场
吾悦广场(漳州龙文店),吾悦广场
银泰百货(温州瓯海店),银泰百货
银泰百货(杭州滨江店),银泰百货
吾悦广场(宿迁宿城店),吾悦广场
万达广场(杭州余杭店),万达广场
吾悦广场(沈阳沈北店),吾悦广场
万达广场(梅州梅江店),万达广场
吾悦广场(兰州安宁店),吾悦广场
吾悦广场(上海青浦店),吾悦广场
南益广场,泉州商城
西安南门王府井,王府井百货永宁门店南馆
永旺超市(津南永旺梦乐城店),永旺超市
长楹天街购物中心-东区,龙湖北京长楹天街
柳州万象城,柳州柳南万达广场
