change_type,mall_code,name,old_category,new_category,old_level,new_level,reason
category,MALL_D9370397,那坡国标旅游商贸城2期,department_store,shopping_mall,,,keyword_shopping
category,MALL_29D72C28,那坡壮鑫商贸城,department_store,shopping_mall,,,keyword_shopping
category,MALL_378A5421,大众购物商城,department_store,shopping_mall,,,keyword_shopping
category,MALL_B3D00597,隆林城南商场,department_store,shopping_mall,,,keyword_shopping
category,MALL_288236D0,化峒兴华商场,department_store,shopping_mall,,,typecode_0601
category,MALL_A83D1C35,宾山商贸城,department_store,shopping_mall,,,keyword_shopping
category,MALL_D7E13F0D,华锐商城,department_store,shopping_mall,,,keyword_shopping
category,MALL_A3D63F27,通泰购物广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_EB101310,金汇生活超市,shopping_mall,lifestyle_center,,,keyword_lifestyle
category,MALL_7007EF49,乐之城,department_store,shopping_mall,,,keyword_shopping
category,MALL_6BE580F9,兴宁商厦,department_store,shopping_mall,,,typecode_0601
category,MALL_7A4D6BF6,南木商贸城,department_store,shopping_mall,,,keyword_shopping
category,MALL_B932A0BD,女兆(桂平1店 )-宏辉商厦,department_store,shopping_mall,,,typecode_0601
category,MALL_B64A8D07,桂平商厦,department_store,shopping_mall,,,typecode_0601
category,MALL_6FE822A7,桂平商都,department_store,shopping_mall,,,typecode_0601
category,MALL_CE244443,桂平综合商场,department_store,shopping_mall,,,typecode_0601
category,MALL_0913C39D,美博城,department_store,shopping_mall,,,keyword_shopping
category,MALL_31AB15C4,荔城商场,department_store,shopping_mall,,,keyword_shopping
category,MALL_5708E36A,鸿泰购物广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_671382DC,中央广场(建设路商业街),department_store,shopping_mall,,,keyword_shopping
category,MALL_350F53F2,中环广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_EF7238EE,丰宝商业城,department_store,shopping_mall,,,keyword_shopping
category,MALL_40EC3556,丰宝王府井广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_923B8F8A,凤凰商贸城,department_store,shopping_mall,,,keyword_shopping
category,MALL_CD0DB78E,恒森商贸城,department_store,shopping_mall,,,keyword_shopping
category,MALL_3310B203,联达广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_3611E827,贵港文化广场商业中心,department_store,shopping_mall,,,keyword_shopping
category,MALL_5D74AAAE,金泰商贸城,department_store,shopping_mall,,,keyword_shopping
category,MALL_999BE186,阳光城1栋A2商铺,department_store,shopping_mall,,,keyword_shopping
category,MALL_85F35E5F,四时商城微超市,department_store,shopping_mall,,,keyword_shopping
category,MALL_C04782AC,润阳·木格桥头商贸城,department_store,shopping_mall,,,keyword_shopping
category,MALL_6758BC82,金港商贸城,department_store,shopping_mall,,,keyword_shopping
category,MALL_F1247809,东龙·龙翔商贸区,department_store,shopping_mall,,,typecode_0601
