mall_code,name,city_name,district_name,existing_poi,status,candidate_poi_id,candidate_name,score,distance_m,need_review,action
MALL_851A9D07,三湘商业广场,上海城区,松江区,B0FFFPWS71,matched,B0FFFPWS71,三湘商业广场,90.0,0.0,False,kept_existing
MALL_72A229BE,三湘财富广场,上海城区,松江区,B0FFFDD8AY,matched,B0FFFDD8AY,三湘财富广场,90.0,0.0,False,kept_existing
MALL_923D2AB8,上海松江印象城,上海城区,松江区,B0GD75AL5O,matched,B0GD75AL5O,上海松江印象城,90.0,0.0,False,kept_existing
MALL_A6EB11D7,东鼎购物中心,上海城区,松江区,B0FFGQ4BQB,matched,B0FFGQ4BQB,东鼎购物中心,90.0,0.0,False,kept_existing
MALL_77195E8F,乐尚天地生活广场,上海城区,松江区,B0FFH8HEW5,matched,B0FFH8HEW5,乐尚天地生活广场,90.0,0.0,False,kept_existing
MALL_023C5A56,九亭金地广场,上海城区,松江区,B0FFKWS6RA,matched,B0FFKWS6RA,九亭金地广场,90.0,0.0,False,kept_existing
MALL_FC01677D,云间新天地广场,上海城区,松江区,B0FFGNOOI2,matched,B0FFGNOOI2,云间新天地广场,90.0,0.0,False,kept_existing
MALL_96A3EBB9,五龙商业广场,上海城区,松江区,B0FFGY7V84,matched,B0FFGY7V84,五龙商业广场,90.0,0.0,False,kept_existing
MALL_096ABA93,佘山·旭辉里,上海城区,松江区,B0J3FU6L6O,matched,B0J3FU6L6O,佘山·旭辉里,90.0,0.0,False,kept_existing
MALL_E3011150,启源生活广场,上海城区,松江区,B0FFHP7LMI,matched,B0FFHP7LMI,启源生活广场,90.0,0.0,False,kept_existing
MALL_19FF22D0,吾悦生活广场,上海城区,松江区,B00156D3BX,matched,B00156D3BX,吾悦生活广场(上海飞航店),75.0,0.0,False,kept_existing
MALL_15EB65C1,嘉宏·大橘印象荟,上海城区,松江区,B0FFI753TS,matched,B0FFI753TS,嘉宏·大橘印象荟(泗泾店),75.0,0.0,False,kept_existing
MALL_7FA69D68,塞纳新天地,上海城区,松江区,B0FFG78LNQ,matched,B0FFG78LNQ,塞纳新天地,90.0,0.0,False,kept_existing
MALL_88DE172C,平高广场,上海城区,松江区,B0FFG8TS9W,matched,B0FFG8TS9W,平高广场,90.0,0.0,False,kept_existing
MALL_D8AEC599,开元地中海商业广场,上海城区,松江区,B00155LJD2,matched,B00155LJD2,开元地中海商业广场,90.0,0.0,False,kept_existing
MALL_C903AF50,摩立盛汇生活广场,上海城区,松江区,B00156GCP1,matched,B00156GCP1,摩立盛汇生活广场,90.0,0.0,False,kept_existing
MALL_7C5A915D,文汇新天地,上海城区,松江区,B0FFF3TX1B,matched,B0FFF3TX1B,文汇新天地,90.0,0.0,False,kept_existing
MALL_DEEBDE49,松江商业广场,上海城区,松江区,B0FFF2NIDZ,matched,B0FFF2NIDZ,松江商业广场,90.0,0.0,False,kept_existing
MALL_9421CF79,贝尚坊,上海城区,松江区,B0FFFHASRP,matched,B0FFFHASRP,贝尚坊,90.0,0.0,False,kept_existing
MALL_882FFA9B,马利来广场,上海城区,松江区,B0GRP5KWUA,matched,B0GRP5KWUA,马利来广场,90.0,0.0,False,kept_existing
MALL_D4671876,鹿都国际购物广场,上海城区,松江区,B00155LDN2,matched,B00155LDN2,鹿都国际购物广场,90.0,0.0,False,kept_existing
MALL_1F544951,万达广场,上海城区,浦东新区,B00155QNWL,matched,B00155QNWL,万达广场(上海周浦店),75.0,0.0,False,kept_existing
MALL_A1E705DE,上海ifc商场,上海城区,浦东新区,B00155LGJZ,matched,B00155LGJZ,上海ifc商场,90.0,0.0,False,kept_existing
MALL_B9503A89,上海临港万达广场,上海城区,浦东新区,B0G1DSFV2Z,matched,B0G1DSFV2Z,上海临港万达广场,90.0,0.0,False,kept_existing
MALL_E5C72D3E,上海佛罗伦萨小镇(上海名品奥特莱斯),上海城区,浦东新区,B0FFFRZIGT,matched,B0FFFRZIGT,上海佛罗伦萨小镇(上海名品奥特莱斯),90.0,0.0,False,kept_existing
MALL_2D04427F,上海第一八佰伴,上海城区,浦东新区,B00153A673,matched,B00153A673,上海第一八佰伴,90.0,0.0,False,kept_existing
MALL_99C05696,世博天地,上海城区,浦东新区,B0J3S58LBL,matched,B0J3S58LBL,世博天地,90.0,0.0,False,kept_existing
MALL_D623BB06,世博源,上海城区,浦东新区,B00155QZKZ,matched,B00155QZKZ,世博源,90.0,0.0,False,kept_existing
MALL_85137C76,中房金谊广场,上海城区,浦东新区,B00155MRBK,matched,B00155MRBK,中房金谊广场,90.0,0.0,False,kept_existing
MALL_F64E2A2B,九六广场,上海城区,浦东新区,B00155NF1N,matched,B00155NF1N,九六广场,90.0,0.0,False,kept_existing
MALL_B64D3511,华润时代广场,上海城区,浦东新区,B00150ABD3,matched,B00150ABD3,华润时代广场,90.0,0.0,False,kept_existing
