old_id,old_mall_code,old_name,master_id,master_mall_code,master_name,merge_reason
15943,MALL_4580D4E6,阳光购物中心,15941,MALL_8D5A6CB5,阳光购物中心,same_name_norm_same_district
10579,MALL_A7B4F2C7,阳光广场,10578,MALL_348005B3,阳光广场,same_name_norm_same_district
4232,MALL_2468B045,阳光百姓购物中心,4231,MALL_459AA0A6,阳光百姓购物中心,same_name_norm_same_district
13017,MALL_E3838A3C,陆屋百货大楼,13016,MALL_8B9715B7,陆屋百货大楼,same_name_norm_same_district
18991,MALL_DD166DD6,隆港时尚购物广场,18989,MALL_353660D3,隆港时尚购物广场,same_name_norm_same_district
18992,MALL_0BC4A919,隆港时尚购物广场,18989,MALL_353660D3,隆港时尚购物广场,same_name_norm_same_district
27261,MALL_2A9587D1,顺丰购物中心,27260,MALL_0DA81AD2,顺丰购物中心,same_name_norm_same_district
27262,MALL_CD5D8E8C,顺丰购物中心,27260,MALL_0DA81AD2,顺丰购物中心,same_name_norm_same_district
2458,MALL_69B45E59,顺商集团鑫海韵通大卖场,2457,MALL_5877A769,顺商集团鑫海韵通大卖场,same_name_norm_same_district
26501,MALL_48D3A5BF,香港城购物中心,26500,MALL_1F10B418,香港城,same_name_norm_same_district
7804,MALL_18FC8956,鲁城商场,7802,MALL_1F675F2F,鲁城商场,same_name_norm_same_district
8082,MALL_D960B5D2,鸿鹄购物广场,8081,MALL_CA6CB6F2,鸿鹄购物广场,same_name_norm_same_district
8083,MALL_DD38BB98,鸿鹄购物广场,8081,MALL_CA6CB6F2,鸿鹄购物广场,same_name_norm_same_district
567,MALL_C31B9285,鹤庆百货大楼,566,MALL_A0B1B00A,鹤庆百货大楼,same_name_norm_same_district
28665,MALL_0354CEFF,麦凯乐,28664,MALL_FEC06666,麦凯乐,same_name_norm_same_district
24087,MALL_C600B8F2,黄商购物中心,24086,MALL_C952B2C0,黄商购物中心,same_name_norm_same_district
18598,MALL_F7555D65,龙山购物广场,18597,MALL_D113132C,龙山商城,same_name_norm_same_district
