mall_code,name,city_name,district_name,lat,lng,amap_poi_id,brand_count,store_count,search_query_dev,search_query_opened
MALL_521EEE98,新百广场,吴忠市,青铜峡市,38.019398,106.094842,B0FFJV51RT,2,2,吴忠市新百广场 开发商,吴忠市新百广场 开业时间
MALL_FF68194D,宏泰购物城,银川市,灵武市,38.095309,106.33334,B03B70POU1,2,2,银川市宏泰购物城 开发商,银川市宏泰购物城 开业时间
MALL_A0D8E69C,新百贺兰中心,银川市,贺兰县,38.555446,106.350313,B0HG6KA9WS,2,2,银川市新百贺兰中心 开发商,银川市新百贺兰中心 开业时间
MALL_F3769920,建发悠阅城,银川市,金凤区,38.428065,106.23916,B0FFM9BPHI,2,2,银川市建发悠阅城 开发商,银川市建发悠阅城 开业时间
MALL_B12678C4,七彩世界,亳州市,利辛县,33.149689,116.208084,B0FFF2WT7A,2,2,亳州市七彩世界 开发商,亳州市七彩世界 开业时间
MALL_80707B33,山水奥莱,六安市,金安区,31.743121,116.529059,B0HRLU0PX3,2,2,六安市山水奥莱 开发商,六安市山水奥莱 开业时间
MALL_3D0E632D,加侨国际广场,合肥市,包河区,31.815188,117.301237,B0HR5AAQPZ,2,2,合肥市加侨国际广场 开发商,合肥市加侨国际广场 开业时间
MALL_E2A4C8BD,悦方ID MALL,合肥市,包河区,31.740055,117.304565,B0FFG8SYUZ,2,2,合肥市悦方ID MALL 开发商,合肥市悦方ID MALL 开业时间
MALL_F557F12E,香港广场,合肥市,庐阳区,31.865748,117.286336,B02270JS0Y,2,2,合肥市香港广场 开发商,合肥市香港广场 开业时间
MALL_BDFE1C16,港澳广场,合肥市,蜀山区,31.791216,117.208242,B0227161K1,2,2,合肥市港澳广场 开发商,合肥市港澳广场 开业时间
MALL_6DC388E7,凤鸣广场,宿州市,埇桥区,33.651187,117.002687,B0G1HAIT0O,2,2,宿州市凤鸣广场 开发商,宿州市凤鸣广场 开业时间
MALL_B2CC97D7,同盛广场,宿州市,埇桥区,33.639689,116.985424,B0FFFT8KD2,2,2,宿州市同盛广场 开发商,宿州市同盛广场 开业时间
MALL_97094013,嘉泰广场,宿州市,砀山县,34.430773,116.351479,B0FFFZPCOT,2,2,宿州市嘉泰广场 开发商,宿州市嘉泰广场 开业时间
MALL_178412D6,袁庄商场,淮南市,潘集区,32.784079,116.818153,B022A02G4N,2,2,淮南市袁庄商场 开发商,淮南市袁庄商场 开业时间
MALL_824FBEEC,金鹏琅琊玖玖广场,滁州市,琅琊区,32.320922,118.329488,B0G3XLDVG9,2,2,滁州市金鹏琅琊玖玖广场 开发商,滁州市金鹏琅琊玖玖广场 开业时间
