mall_id,mall_name,original_name,mall_lat,mall_lng,amap_poi_id,city,source,store_count,dji_reported,dji_exclusive,dji_target,dji_opened,insta_opened,province
MALL_00348,武汉SKP,武汉SKP,30.556575,114.338293,,武汉市,memory,1,0,0,0,1,0,湖北省
MALL_00349,天河城,天河城,23.132333,113.322605,,广州市,memory,2,0,1,1,1,1,广东省
MALL_00350,崂山万象汇,崂山万象汇,36.118066,120.44823,,青岛市,memory,2,0,0,0,1,1,山东省
MALL_00351,泸州万象汇,泸州万象汇,28.894197,105.410535,,泸州市,memory,1,0,0,0,1,0,四川省
MALL_00352,威高广场A馆,威高广场A馆,37.504624,122.123132,B027714JDO,威海市,memory,1,0,0,0,1,0,山东省
MALL_00353,北海银海万达广场,北海银海万达广场,21.432761,109.144339,,北海市,memory,1,0,0,0,1,0,广西壮族自治区
MALL_00354,天津万象城,天津万象城,39.090191,117.213425,,天津市,memory,3,0,0,0,1,1,天津市
MALL_00356,万达广场乌鲁木齐经开区店,万达广场乌鲁木齐经开区店,43.841635,87.517771,B0FFFEIXAT,乌鲁木齐市,api,1,0,1,0,1,0,新疆维吾尔自治区
MALL_00357,西宁海湖万达广场,西宁海湖万达广场,36.642644,101.715863,,西宁市,memory,1,0,0,1,1,0,青海省
MALL_00358,中骏·世界城新馆,中骏·世界城新馆,24.920371,118.658808,,泉州市,memory,1,0,1,1,1,0,福建省
MALL_00359,龙湖西安香醍天街,龙湖西安香醍天街,34.262395,109.037697,,西安市,memory,1,0,1,0,1,0,陕西省
MALL_00360,贵阳万象城,贵阳万象城,26.567594,106.713222,B0JDRZIC3D,贵阳市,api,2,0,0,0,1,1,贵州省
MALL_00361,九江·联盛快乐城,九江·联盛快乐城,29.701885,115.970728,,九江市,memory,1,0,0,0,1,0,江西省
MALL_00362,大连华南万象汇,大连华南万象汇,38.991045,121.585263,,大连市,memory,2,0,0,0,1,1,辽宁省
MALL_00363,北京侨福芳草地购物中心,北京侨福芳草地购物中心,39.919577,116.448834,,北京市,memory,1,0,1,0,1,0,北京市
MALL_00364,上海荟聚,上海荟聚,31.221909,121.356695,,上海市,memory,1,0,1,0,1,0,上海市
MALL_00365,青岛万象城1期,青岛万象城1期,36.066954,120.377807,,青岛市,memory,1,0,0,0,1,0,山东省
MALL_00366,禾巷东区购物中心(泰禾广场西区店),禾巷东区购物中心(泰禾广场西区店),26.09015,119.336944,,福州市,memory,2,0,0,0,1,1,福建省
MALL_00367,顺城购物中心,顺城购物中心,25.035519,102.707467,,昆明市,memory,2,0,0,0,1,1,云南省
MALL_00368,港惠新天地东区,港惠新天地东区,23.067996,114.41793,,惠州市,memory,1,0,0,0,1,0,广东省
MALL_00369,西安DT51,西安DT51,34.203065,108.89116,,西安市,memory,2,0,0,0,1,1,陕西省
MALL_00370,西安万象天地,西安万象天地,34.199381,108.951634,,西安市,memory,1,0,1,0,1,0,陕西省
MALL_00371,万达广场(孝感星河天街店),万达广场(孝感星河天街店),30.900716,113.956819,,孝感市,memory,1,1,0,0,1,0,湖北省
MALL_00372,渝北光环花园城A馆,渝北光环花园城A馆,29.722867,106.592504,,重庆市,memory,1,0,0,0,1,0,重庆市
MALL_00373,上海港汇恒隆广场,上海港汇恒隆广场,31.194628,121.437217,,上海市,memory,2,0,0,0,1,1,上海市
MALL_00374,世纪金源购物中心东区,世纪金源购物中心东区,39.958681,116.289992,,北京市,memory,1,0,1,0,1,0,北京市
MALL_00375,开元商城钟楼店,开元商城钟楼店,34.258584,108.948139,,西安市,memory,1,0,0,0,1,0,陕西省
MALL_00376,K11购物艺术中心,K11购物艺术中心,23.117789,113.326132,,广州市,memory,1,0,0,0,1,0,广东省
MALL_00377,马鞍山金鹰购物中心,马鞍山金鹰购物中心,31.685325,118.508817,,马鞍山市,memory,1,1,0,0,1,0,安徽省
MALL_00378,沈阳万象城,沈阳万象城,41.776552,123.434516,,沈阳市,memory,2,0,1,0,1,1,辽宁省
MALL_00379,上海七宝领展广场,上海七宝领展广场,31.154653,121.350371,,上海市,memory,1,0,0,0,1,0,上海市
MALL_00380,金湾华发商都A馆,金湾华发商都A馆,22.1135,113.360919,,珠海市,memory,1,0,0,0,1,0,广东省
MALL_00381,兰州万象城,兰州万象城,36.053981,103.844791,,兰州市,memory,2,0,0,0,1,1,甘肃省
MALL_00382,青岛海信广场,青岛海信广场,36.060316,120.396279,,青岛市,memory,2,0,0,1,1,1,山东省
MALL_00383,龙湖苏州相城天街A馆,龙湖苏州相城天街A馆,31.370375,120.636675,,苏州市,memory,1,0,0,0,1,0,江苏省
MALL_00384,嘉兴八佰伴(中山路店),嘉兴八佰伴(中山路店),30.758421,120.732155,,嘉兴市,memory,1,0,0,0,1,0,浙江省
MALL_00385,万达广场(青秀店),万达广场(青秀店),22.83041,108.370451,,南宁市,memory,1,0,0,0,1,0,广西壮族自治区
MALL_00386,杭州万象城商场,杭州万象城商场,30.251753,120.215513,,杭州市,memory,2,0,0,0,1,1,浙江省
MALL_00387,武汉万象城,武汉万象城,30.599266,114.280583,,武汉市,memory,2,0,0,0,1,1,湖北省
MALL_00388,天津恒隆广场,天津恒隆广场,39.128054,117.199892,,天津市,memory,1,0,1,0,1,0,天津市
MALL_00389,成都太古里,成都太古里,30.653358,104.083809,B0FFF6X49V,成都市,api,2,0,0,0,1,0,四川省
MALL_00390,苏州吴江万象汇,苏州吴江万象汇,31.135977,120.617989,,苏州市,memory,2,0,0,0,1,1,江苏省
MALL_00391,淮安万象城,淮安万象城,33.600382,119.043167,B0K251X8L7,淮安市,api,2,0,0,0,1,1,江苏省
MALL_00392,华强电子世界,华强电子世界,22.541846,114.084127,B0G26NJKG4,深圳市,api,2,0,0,0,1,1,广东省
MALL_00393,八佰伴,八佰伴,31.340263,118.366291,B0FFGJ5VWU,芜湖市,api,1,0,0,0,1,0,安徽省
MALL_00394,常州新北万达广场,常州新北万达广场,31.817982,119.969503,B02070RETS,常州市,api,1,1,0,0,1,0,江苏省
MALL_00395,时光里北塔,时光里北塔,23.137228,113.281529,B0JUURRVI3,广州市,api,1,0,1,1,1,0,广东省
MALL_00396,杭州萧山万象汇,杭州萧山万象汇,30.181857,120.269063,B0FFG4FNXR,杭州市,api,2,0,0,0,1,1,浙江省
MALL_00397,宁波万象城,宁波万象城,29.898336,121.553454,B0FFGB8OSI,宁波市,api,2,0,0,0,1,1,浙江省
MALL_00398,成都SKP,成都SKP,30.569005,104.070442,B0GUFXG1QD,成都市,api,2,0,0,0,1,1,四川省
MALL_00399,卓展购物中心A座,卓展购物中心A座,43.890501,125.319334,B0FFH2AU34,长春市,api,1,0,1,0,1,0,吉林省
MALL_00400,公园1903商业广场,公园1903商业广场,24.985907,102.676854,B0FFH0GGXN,昆明市,api,1,0,0,0,1,0,云南省
MALL_00401,金鹰国际购物中心(徐州店)-A座,金鹰国际购物中心(徐州店)-A座,34.266773,117.186791,B0G1XSGZUL,徐州市,api,1,0,0,0,1,0,江苏省
MALL_00402,长申国际,长申国际,34.653927,112.406584,B0FFG32SIY,洛阳市,api,1,0,0,0,1,0,河南省
MALL_00403,龙湖天津梅江天街,龙湖天津梅江天街,39.065157,117.207797,B0JG9U6Z70,天津市,api,2,0,0,0,1,1,天津市
MALL_00404,万达广场(通州店),万达广场(通州店),39.90532,116.640441,B000A9NIPV,北京市,api,1,1,1,0,1,0,北京市
MALL_00405,桂林万象城,桂林万象城,25.262813,110.269287,B0FFGQ2TDY,桂林市,api,2,0,0,0,1,1,广西壮族自治区
MALL_00406,宝龙一城,宝龙一城,24.485801,118.17297,B0FFG6OC6N,厦门市,api,1,0,1,0,1,0,福建省
